sdl12-compat 1.2.68-2
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
sdl_net 1.2.8-6
sdl_sound 1.0.3-13
sed 4.10-1
serd 0.32.8-1
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
slirp4netns 1.3.3-1
smbclient 2:4.24.2-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
sord 0.16.22-1
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
sqlite 3.53.1-1
sratom 0.6.22-1
srt 1.5.5-1
steam 1.0.0.85-6
steam-devices 1.0.0.85-6
svt-av1 4.1.0-1
systemd-libs 260.1-2
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tevent 1:0.17.1-2
tinysparql 3.11.1-1
tomlplusplus 3.4.0-2
tpm2-tss 4.1.3-1
tslib 1.24-1
ttf-liberation 2.1.5-2
tzdata 2026b-1
unzip 6.0-23
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 75-2
vid.stab 1.1.1-2
vmaf 3.1.0-1
vulkan-icd-loader 1.4.350.0-1
wayland 1.25.0-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-4
which 2.23-1
wine-staging 11.9-1
winetricks-git 20230212.r52.g07c6d389-1
wireplumber 0.5.14-1
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xkeyboard-config 2.47-1
xorg-xhost 1.0.10-1
xorg-xmessage 1.0.7-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-1
zix 0.8.0-1
zlib 1:1.3.2-3
zstd 1.5.7-3
